,Date,Close,index
2193,2023-01-02,16688.470703125,2023-01-02
2194,2023-01-03,16679.857421875,2023-01-03
2195,2023-01-04,16863.23828125,2023-01-04
2196,2023-01-05,16836.736328125,2023-01-05
2197,2023-01-06,16951.96875,2023-01-06
2198,2023-01-07,16955.078125,2023-01-07
2199,2023-01-08,17091.14453125,2023-01-08
2200,2023-01-09,17196.5546875,2023-01-09
2201,2023-01-10,17446.29296875,2023-01-10
2202,2023-01-11,17934.896484375,2023-01-11
2203,2023-01-12,18869.587890625,2023-01-12
2204,2023-01-13,19909.57421875,2023-01-13
2205,2023-01-14,20976.298828125,2023-01-14
2206,2023-01-15,20880.798828125,2023-01-15
2207,2023-01-16,21169.6328125,2023-01-16
2208,2023-01-17,21161.51953125,2023-01-17
2209,2023-01-18,20688.78125,2023-01-18
2210,2023-01-19,21086.79296875,2023-01-19
2211,2023-01-20,22676.552734375,2023-01-20
2212,2023-01-21,22777.625,2023-01-21
2213,2023-01-22,22720.416015625,2023-01-22
2214,2023-01-23,22934.431640625,2023-01-23
2215,2023-01-24,22636.46875,2023-01-24
2216,2023-01-25,23117.859375,2023-01-25
2217,2023-01-26,23032.77734375,2023-01-26
2218,2023-01-27,23078.728515625,2023-01-27
2219,2023-01-28,23031.08984375,2023-01-28
2220,2023-01-29,23774.56640625,2023-01-29
2221,2023-01-30,22840.138671875,2023-01-30
2222,2023-01-31,23139.283203125,2023-01-31
2223,2023-02-01,23723.76953125,2023-02-01
2224,2023-02-02,23471.87109375,2023-02-02
2225,2023-02-03,23449.322265625,2023-02-03
2226,2023-02-04,23331.84765625,2023-02-04
2227,2023-02-05,22955.666015625,2023-02-05
2228,2023-02-06,22760.109375,2023-02-06
2229,2023-02-07,23264.291015625,2023-02-07
2230,2023-02-08,22939.3984375,2023-02-08
2231,2023-02-09,21819.0390625,2023-02-09
2232,2023-02-10,21651.18359375,2023-02-10
2233,2023-02-11,21870.875,2023-02-11
2234,2023-02-12,21788.203125,2023-02-12
2235,2023-02-13,21808.1015625,2023-02-13
2236,2023-02-14,22220.8046875,2023-02-14
2237,2023-02-15,24307.841796875,2023-02-15
2238,2023-02-16,23623.474609375,2023-02-16
2239,2023-02-17,24565.6015625,2023-02-17
2240,2023-02-18,24641.27734375,2023-02-18
2241,2023-02-19,24327.642578125,2023-02-19
2242,2023-02-20,24829.1484375,2023-02-20
2243,2023-02-21,24436.353515625,2023-02-21
2244,2023-02-22,24188.84375,2023-02-22
2245,2023-02-23,23947.4921875,2023-02-23
2246,2023-02-24,23198.126953125,2023-02-24
2247,2023-02-25,23175.375,2023-02-25
2248,2023-02-26,23561.212890625,2023-02-26
2249,2023-02-27,23522.87109375,2023-02-27
2250,2023-02-28,23147.353515625,2023-02-28
2251,2023-03-01,23646.55078125,2023-03-01
2252,2023-03-02,23475.466796875,2023-03-02
2253,2023-03-03,22362.6796875,2023-03-03
2254,2023-03-04,22353.349609375,2023-03-04
2255,2023-03-05,22444.482421875,2023-03-05
